"id","reference","statut","date_demande","tipo_fluxo","demandeur","projet","total_items"
"58","SAI-INS-0001-01","LIVREE","2026-03-04 16:44:55.163718+00","INSTALACAO","mojo",NULL,"1"
"54","SAI-CON-0004-01","LIVREE","2026-03-04 14:40:33.851897+00","INSTALACAO","mojo",NULL,"1"
"46","SAI-CON-0003-01","LIVREE","2026-03-02 10:24:25.016608+00","INSTALACAO","benedito",NULL,"2"
"42","SAI-HID-0001-01","LIVREE","2026-03-01 17:02:29.714363+00","INSTALACAO","jgabriel",NULL,"1"
"41","SAI-ELE-0001-02","LIVREE","2026-03-01 16:18:52.629666+00","INSTALACAO","jgabriel",NULL,"1"
"40","SAI-ELE-0001-01","LIVREE","2026-03-01 16:09:24.958291+00","INSTALACAO","jgabriel",NULL,"1"
"22","SAI-TUB-0001- 6","LIVREE","2026-02-20 14:56:12.444003+00","INSTALACAO","garcia",NULL,"1"
"16","SAI-TUB-0001- 3","LIVREE","2026-02-11 07:49:38.703617+00","INSTALACAO","zturtle",NULL,"1"
"14","SAI-TUB-0001- 1","LIVREE","2026-02-11 07:36:05.833838+00","INSTALACAO","zturtle",NULL,"1"
"10","SAI-OUT-0001- 3","LIVREE","2026-02-08 18:25:04.632822+00","INSTALACAO","garcia",NULL,"1"
"9","SAI-OUT-0001- 2","LIVREE","2026-02-08 18:23:45.891039+00","INSTALACAO","garcia",NULL,"1"
"7","SAI-GEN-0007- 1","LIVREE","2026-01-15 10:24:37.979442+00","INSTALACAO","zturtle",NULL,"0"
"6","SAI-GEN-0006- 1","LIVREE","2026-01-15 07:37:38.110697+00","INSTALACAO","zturtle",NULL,"0"
